byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T10:57:47: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:51: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:51: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:51: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:55: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:55: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:55: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:57:59: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:57:59: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:57:59: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:02: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:02: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:02: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:06: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:06: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:06: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:10: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:10: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:10: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:15: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:15: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:15: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:20: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:20: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:20: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:26: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:26: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:26: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:31: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:31: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:31: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:36: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:36: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:36: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:42: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:42: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:42: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:46: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:46: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:46: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:50: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:50: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:50: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:58:55: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:58:55: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:58:55: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:00: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:00: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:00: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:04: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:04: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:04: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:08: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:08: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:08: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:12: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:12: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:12: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:15: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:15: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:15: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:19: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:19: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:19: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:23: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:23: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:23: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:27: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:27: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:27: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:31: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:31: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:31: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:35: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:35: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:35: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:39: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:39: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:39: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:42: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:42: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:42: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:46: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:46: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:46: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:50: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:50: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:50: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:54: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:54: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:54: PM2 log: App [unical:0] online
PM2        | 2026-04-07T10:59:58: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T10:59:58: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T10:59:58: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:02: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:02: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:02: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:06: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:00:06: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:00:06: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:00:10: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
