byhomeyyz@raspberrypi:~/Home-View $ pm2 logs --nostream --lines 300
[TAILING] Tailing last 300 lines for [all] processes (change the value with --lines option)
/home/byhomeyyz/.pm2/pm2.log last 300 lines:
PM2        | 2026-04-07T11:12:06: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:06: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:09: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:09: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:09: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:13: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:13: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:13: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:17: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:17: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:17: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:21: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:21: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:21: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:25: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:25: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:25: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:29: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:29: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:29: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:32: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:32: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:32: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:36: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:36: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:36: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:40: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:40: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:40: PM2 log: App [unical:0] online
PM2        | 2026-04-07T11:12:44: PM2 log: App [unical:0] exited with code [1] via signal [SIGINT]
PM2        | 2026-04-07T11:12:44: PM2 log: App [unical:0] starting in -fork mode-
PM2        | 2026-04-07T11:12:44: PM2 log: App [unical:0] online
